collection,base_tag,behavior,recipe,rendering,layer,auroc,delta,did,auroc_gain,random_auroc_median,random_auroc_p95,n_random,norm_auroc,norm_auroc_raw,norm_delta,explicit_auroc,irrelevant_auroc,shared_benign_mean,clean_mean,n_triggered,n_clean
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,8,0.5590277777777778,0.03955364227294922,0.1624300479888916,0.1753472222222222,0.734375,0.9489583333333332,25,0.5138888888888888,0.5138888888888888,0.052631378173828125,0.609375,0.765625,-2.442377805709839,-2.3827402591705322,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,9,0.8871527777777778,0.2979138195514679,0.10393497347831726,0.16493055555555558,0.7430555555555556,0.9545138888888886,25,0.6545138888888888,0.6545138888888888,0.5132331848144531,0.8715277777777778,0.8211805555555556,-0.730006217956543,-0.7072844505310059,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,10,1.0,0.8814518451690674,0.4465562105178833,0.1527777777777778,0.7777777777777778,0.9805555555555555,25,0.7725694444444444,0.22743055555555555,-2.3303680419921875,0.7326388888888888,0.2465277777777778,-3.156465530395508,-3.06160831451416,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,11,0.6267361111111112,0.2649437189102173,0.2514446973800659,0.13194444444444448,0.7239583333333334,0.9618055555555552,25,0.6822916666666667,0.3177083333333333,-1.1527099609375,0.3541666666666667,0.14930555555555555,1.6015923023223877,1.6646451950073242,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,12,0.7621527777777778,0.707766056060791,0.427030086517334,0.16145833333333337,0.7482638888888888,0.9458333333333333,25,0.5017361111111112,0.5017361111111112,0.1759796142578125,0.4392361111111111,0.7274305555555556,2.5539188385009766,2.52312970161438,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,13,0.7986111111111112,1.031632900238037,0.40161609649658203,0.10243055555555558,0.7326388888888888,0.9239583333333332,25,0.6527777777777778,0.6527777777777778,1.0405426025390625,0.5173611111111112,1.0,-6.7648138999938965,-6.579013824462891,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,14,0.5885416666666666,0.273284912109375,-0.14151334762573242,-0.03993055555555558,0.7604166666666666,0.9934027777777776,25,0.5746527777777778,0.4253472222222222,-0.3605499267578125,0.7899305555555556,1.0,-7.945087432861328,-7.754474639892578,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,15,0.9965277777777778,3.300583839416504,2.507645606994629,0.3055555555555556,0.7309027777777778,0.9788194444444444,25,0.9392361111111112,0.06076388888888889,-4.683380126953125,0.9965277777777778,1.0,-12.017078399658203,-11.685905456542969,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,16,1.0,5.005469799041748,3.943953037261963,0.3368055555555556,0.796875,0.9517361111111111,25,0.6197916666666666,0.6197916666666666,2.027587890625,1.0,1.0,-11.081304550170898,-10.717690467834473,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,17,0.7847222222222222,2.36236572265625,0.12583637237548828,0.02083333333333337,0.8177083333333334,0.9534722222222222,25,0.6736111111111112,0.6736111111111112,4.215667724609375,0.8385416666666666,1.0,-14.724983215332031,-14.245949745178223,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,18,0.2552083333333333,-4.099586486816406,-3.827707290649414,-0.22569444444444448,0.7482638888888888,0.979861111111111,25,0.5989583333333333,0.4010416666666667,-2.741668701171875,0.6041666666666666,0.9861111111111112,-26.840723037719727,-23.93996238708496,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,19,0.6857638888888888,5.513614654541016,6.598869323730469,0.24479166666666663,0.8350694444444444,0.9569444444444444,25,0.8958333333333334,0.8958333333333334,37.75848388671875,0.9357638888888888,0.9791666666666666,-38.896018981933594,-32.061466217041016,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,20,0.7916666666666666,9.696374893188477,9.035406112670898,0.2777777777777778,0.7864583333333334,0.9618055555555555,25,0.8489583333333334,0.8489583333333334,23.72320556640625,0.9722222222222222,1.0,-35.04541778564453,-29.037139892578125,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,21,0.9270833333333334,24.332618713378906,24.53573226928711,0.45312500000000006,0.7291666666666666,0.9795138888888889,25,0.875,0.875,60.5975341796875,0.9861111111111112,1.0,-14.586329460144043,-11.293478965759277,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,22,0.6388888888888888,11.243663787841797,15.28851318359375,0.27951388888888884,0.8541666666666666,0.9979166666666667,25,0.8559027777777778,0.8559027777777778,59.86358642578125,0.5885416666666666,0.9913194444444444,40.002445220947266,52.07159423828125,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,23,0.4756944444444444,4.768463134765625,11.889816284179688,0.1440972222222222,0.6857638888888888,0.9131944444444443,25,0.8975694444444444,0.8975694444444444,97.0811767578125,0.3246527777777778,0.9010416666666666,124.50016021728516,138.0196075439453,24,24
